FriendlyName,EntityType,Category,ObjectName
Basic Crate,Loot,Crate,assets/bundled/prefabs/radtown/crate_basic.prefab
Basic Healing Tea,Loot,Potions,healingtea (world)
Basic Horse Shoes,Loot,Clothing,horse.shoes.basic (world)
Basic Max Health Tea,Loot,Potions,maxhealthtea (world)
Basic Ore Tea,Loot,Potions,oretea (world)
Basic Scrap Tea,Loot,Potions,scraptea (world)
Basic Wood Tea,Loot,Potions,woodtea (world)
bassweapon,Blacklist,N/A,assets/prefabs/instruments/bass/bass.weapon.prefab
Battery - Small,Loot,Electronics,battery.small (world)
bbqdeployed,Blacklist,N/A,assets/prefabs/deployable/bbq/bbq.deployed.prefab
bbqstatic,Blacklist,N/A,assets/bundled/prefabs/static/bbq.static.prefab
Beach Chair,Loot,Construction,beachchair (world)
Beach Parasol,Loot,Construction,beachparasol (world)
Beach Table,Loot,Construction,beachtable (world)
Beach Towel,Loot,Construction,beachtowel (world)
beachchairdeployed,Blacklist,N/A,assets/prefabs/misc/summer_dlc/beach_chair/beachchair.deployed.prefab
beachparasoldeployed,Blacklist,N/A,assets/prefabs/misc/summer_dlc/beach_chair/beachparasol.deployed.prefab
beachtabledeployed,Blacklist,N/A,assets/prefabs/misc/summer_dlc/beach_chair/beachtable.deployed.prefab
beachtoweldeployed,Blacklist,N/A,assets/prefabs/misc/summer_dlc/beach_towel/beachtowel.deployed.prefab
Beancan Grenade,Loot,Weapons,grenade.beancan (world)
Bear,Animal,N/A,assets/rust.ai/agents/bear/bear.prefab
Bear Full,Animal,N/A,assets/prefabs/npc/bear/bear_full.prefab
Bear Trap,Loot,Traps,assets/prefabs/deployable/bear trap/beartrap.prefab
Bed,Loot,Items,bed (world)
bed_deployed,Blacklist,N/A,assets/prefabs/deployable/bed/bed_deployed.prefab
Beenie Hat,Loot,Clothing,hat.beenie (world)
big_wheel,Blacklist,N/A,assets/prefabs/misc/casino/bigwheel/big_wheel.prefab
bigwheelbettingterminal,Blacklist,N/A,assets/prefabs/misc/casino/bigwheel/bigwheelbettingterminal.prefab
binocularentity,Blacklist,N/A,assets/prefabs/tools/binoculars/binocular.entity.prefab
Binoculars,Loot,Tools,tool.binoculars (world)
birch_big_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest/birch_big_temp.prefab
birch_big_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest_pine/birch_big_temp.prefab
birch_big_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest/birch_big_temp.prefab
birch_big_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_large/birch_big_temp.prefab
birch_big_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_field/birch_big_tundra.prefab
birch_big_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_forest/birch_big_tundra.prefab
birch_big_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_forest/birch_big_tundra.prefab
birch_large_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest_pine/birch_large_temp.prefab
birch_large_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest/birch_large_temp.prefab
birch_large_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_large/birch_large_temp.prefab
birch_large_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest/birch_large_temp.prefab
birch_large_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_forest/birch_large_tundra.prefab
birch_large_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_forest/birch_large_tundra.prefab
birch_large_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_field/birch_large_tundra.prefab
birch_medium_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forestside/birch_medium_temp.prefab
birch_medium_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest/birch_medium_temp.prefab
birch_medium_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_small/birch_medium_temp.prefab
birch_medium_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest/birch_medium_temp.prefab
birch_medium_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_field/birch_medium_tundra.prefab
birch_medium_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_forestside/birch_medium_tundra.prefab
birch_medium_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_forest/birch_medium_tundra.prefab
birch_small_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_beachforest_small/birch_small_temp.prefab
birch_small_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest/birch_small_temp.prefab
birch_small_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_small/birch_small_temp.prefab
birch_small_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_beachside/birch_small_temp.prefab
birch_small_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_field/birch_small_temp.prefab
birch_small_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forestside/birch_small_temp.prefab
birch_small_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_field/birch_small_tundra.prefab
birch_small_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_forestside/birch_small_tundra.prefab
birch_small_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_forest/birch_small_tundra.prefab
birch_small_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_forest_small/birch_small_tundra.prefab
birch_tiny_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_beachside/birch_tiny_temp.prefab
birch_tiny_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_field/birch_tiny_temp.prefab
birch_tiny_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forestside/birch_tiny_temp.prefab
birch_tiny_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_beachforest_small/birch_tiny_temp.prefab
birch_tiny_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_field_small/birch_tiny_temp.prefab
birch_tiny_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest/birch_tiny_temp.prefab
birch_tiny_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_small/birch_tiny_temp.prefab
birch_tiny_temp,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_small/birch_tiny_temp.prefab
birch_tiny_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_forestside/birch_tiny_tundra.prefab
birch_tiny_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_forest/birch_tiny_tundra.prefab
birch_tiny_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_forest_small/birch_tiny_tundra.prefab
birch_tiny_tundra,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_tundra_field/birch_tiny_tundra.prefab
Birthday Cake,Loot,Food,cakefiveyear (world)
Black Berry,Loot,Berries,assets/bundled/prefabs/autospawn/collectable/berry-black/berry-black-collectable.prefab
Black Berry,Loot,Berries,assets/prefabs/plants/berrry/black/black_berry.entity.prefab
Black Berry,Loot,Berries,black.berry (world)
Black Berry Clone,Loot,Berries,clone.black.berry (world)
Black Berry Seed,Loot,Seeds,seed.black.berry (world)
Black Raspberries,Loot,Berries,black.raspberries (world)
Bleach,Loot,Misc,bleach (world)
Blocker,Loot,Electronics,electric.blocker (world)
blockstairlshape,Blacklist,N/A,assets/prefabs/building core/stairs.l/block.stair.lshape.prefab
blockstairspiral,Blacklist,N/A,assets/prefabs/building core/stairs.spiral/block.stair.spiral.prefab
blockstairspiraltriangle,Blacklist,N/A,assets/prefabs/building core/stairs.spiral.triangle/block.stair.spiral.triangle.prefab
blockstairushape,Blacklist,N/A,assets/prefabs/building core/stairs.u/block.stair.ushape.prefab
Blood,Loot,Resources,blood (world)
Blue Berry,Loot,Berries,assets/bundled/prefabs/autospawn/collectable/berry-blue/berry-blue-collectable.prefab
Blue Berry,Loot,Berries,assets/prefabs/plants/berrry/blue/blue_berry.entity.prefab
Blue Berry,Loot,Berries,blue.berry (world)
Blue Berry Clone,Loot,Berries,clone.blue.berry (world)
Blue Berry Seed,Loot,Seeds,seed.blue.berry (world)
Blue Boomer,Loot,Misc,firework.boomer.blue (world)
Blue Keycard,Loot,Items,keycard_blue (world)
Blue Roman Candle,Loot,Misc,firework.romancandle.blue (world)
Blueberries,Loot,Berries,blueberries (world)
Blueprint,Loot,Items,blueprintbase (world)
Boar,Animal,N/A,assets/rust.ai/agents/boar/boar.prefab
boar.corpse,Loot,Corpse,assets/rust.ai/agents/boar/boar.corpse.prefab
Boat Shopkeeper,PlayerNPC,N/A,assets/prefabs/npc/bandit/shopkeepers/boat_shopkeeper.prefab
Boat Spawner,PlayerNPC,N/A,assets/prefabs/npc/bandit/boatspawner.prefab
bobber,Blacklist,N/A,assets/prefabs/tools/fishing rod/bobber/bobber.prefab
Bolt Action Rifle,Loot,Weapons,rifle.bolt (world)
bolt_rifle,Loot,Prefabs Weapons,assets/prefabs/weapons/bolt rifle/bolt_rifle.entity.prefab
Bone Armor,Loot,Clothing,bone.armor.suit (world)
Bone Arrow,Loot,Ammo,arrow.bone (world)
Bone Club,Loot,Weapons,bone.club (world)
Bone Fragments,Loot,Resources,bone.fragments (world)
Bone Helmet,Loot,Clothing,deer.skull.mask (world)
Bone Knife,Loot,Weapons,knife.bone (world)
bone_club,Loot,Prefabs Weapons,assets/prefabs/weapons/bone club/bone_club.entity.prefab
Boogie Board,Loot,Items,boogieboard (world)
boogieboarddeployed,Blacklist,N/A,assets/prefabs/misc/summer_dlc/boogie_board/boogieboard.deployed.prefab
Boonie Hat,Loot,Clothing,hat.boonie (world)
Boots,Loot,Clothing,shoes.boots (world)
Bota Bag,Loot,Food,assets/prefabs/food/bota bag/bota_bag.entity.prefab
Bota Bag,Loot,Food,botabag (world)
Bottle,Loot,Food,assets/prefabs/food/small water bottle/smallwaterbottle.entity.prefab
bow_hunting,Loot,Prefabs Weapons,assets/prefabs/weapons/bow/bow_hunting.entity.prefab
Box,Loot,Prefabs Deployable,assets/prefabs/deployable/woodenbox/woodbox_deployed.prefab
Bradley,Loot,Corpse,assets/prefabs/npc/m2bradley/servergibs_bradley.prefab
Bradley APC,VehicleNPC,N/A,assets/prefabs/npc/m2bradley/bradleyapc.prefab
Bradley Crate,Loot,Crate,assets/prefabs/npc/m2bradley/bradley_crate.prefab
Bronze Egg,Loot,Misc,easter.bronzeegg (world)
Bucket Helmet,Loot,Clothing,bucket.helmet (world)
Building Plan,Loot,Construction,building.planner (world)
Bunny Ears,Loot,Clothing,attire.bunnyears (world)
Bunny Onesie,Loot,Clothing,attire.bunny.onesie (world)
Burlap Gloves,Loot,Clothing,burlap.gloves.new (world)
Burlap Headwrap,Loot,Clothing,burlap.headwrap (world)
Burlap Shirt,Loot,Clothing,burlap.shirt (world)
Burlap Shoes,Loot,Clothing,burlap.shoes (world)
Burlap Trousers,Loot,Clothing,burlap.trousers (world)
Burnt Bear Meat,Blacklist,N/A,bearmeat.burned (world)
Burnt Chicken,Blacklist,N/A,chicken.burned (world)
Burnt Deer Meat,Blacklist,N/A,deermeat.burned (world)
Burnt Horse Meat,Blacklist,N/A,horsemeat.burned (world)
Burnt Human Meat,Blacklist,N/A,humanmeat.burned (world)
Burnt Pork,Blacklist,N/A,meat.pork.burned (world)
Burnt Wolf Meat,Blacklist,N/A,wolfmeat.burned (world)
bush_spicebush_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_tundra/bush_spicebush_a.prefab
bush_spicebush_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_temp/bush_spicebush_a.prefab
bush_spicebush_a_snow,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic_forest/bush_spicebush_a_snow.prefab
bush_spicebush_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_temp/bush_spicebush_b.prefab
bush_spicebush_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_tundra/bush_spicebush_b.prefab
bush_spicebush_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_temp/bush_spicebush_c.prefab
bush_spicebush_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_tundra/bush_spicebush_c.prefab
bush_spicebush_c_snow,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic_forest/bush_spicebush_c_snow.prefab
bush_spicebush_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_tundra/bush_spicebush_d.prefab
bush_spicebush_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_temp/bush_spicebush_d.prefab
bush_willow_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_temp/bush_willow_a.prefab
bush_willow_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_temp/bush_willow_b.prefab
bush_willow_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_temp/bush_willow_c.prefab
bush_willow_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_temp/bush_willow_d.prefab
bush_willow_snow_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic/bush_willow_snow_a.prefab
bush_willow_snow_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic_forest/bush_willow_snow_a.prefab
bush_willow_snow_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic/bush_willow_snow_b.prefab
bush_willow_snow_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic_forest/bush_willow_snow_b.prefab
bush_willow_snow_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic/bush_willow_snow_c.prefab
bush_willow_snow_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic_forest/bush_willow_snow_c.prefab
bush_willow_snow_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic/bush_willow_snow_d.prefab
bush_willow_snow_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic_forest/bush_willow_snow_d.prefab
bush_willow_snow_small_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic/bush_willow_snow_small_a.prefab
bush_willow_snow_small_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_bushes_arctic/bush_willow_snow_small_b.prefab
Butcher Knife,Loot,Weapons,knife.butcher (world)
butcherknife,Loot,Prefabs Weapons,assets/prefabs/weapons/halloween/butcher knife/butcherknife.entity.prefab
button,Blacklist,N/A,assets/prefabs/deployable/playerioents/button/button.prefab
Button,Loot,Electronics,electric.button (world)
Cable Tunnel,Loot,Electronics,electric.cabletunnel (world)
cabletunnel,Blacklist,N/A,assets/prefabs/deployable/playerioents/tunnel/cabletunnel.prefab
Cactus Flesh,Loot,Food,cactusflesh (world)
cactus-1,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_arid_cactus/cactus-1.prefab
cactus-1,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arid_cactus/cactus-1.prefab
cactus-2,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_arid_cactus/cactus-2.prefab
cactus-2,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arid_cactus/cactus-2.prefab
cactus-3,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_arid_cactus/cactus-3.prefab
cactus-3,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arid_cactus/cactus-3.prefab
cactus-4,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arid_cactus/cactus-4.prefab
cactus-4,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_arid_cactus/cactus-4.prefab
cactus-5,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_arid_cactus/cactus-5.prefab
cactus-5,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arid_cactus/cactus-5.prefab
cactus-6,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_arid_cactus/cactus-6.prefab
cactus-6,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arid_cactus/cactus-6.prefab
cactus-7,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_arid_cactus/cactus-7.prefab
cactus-7,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_arid_cactus/cactus-7.prefab
