Id,FriendlyName,ShortName,Category,Priority,ForceShow,ArmorClass
_550aa4bf4bdc2dd6348b456b,Flashhider,Flashhider,Parent Element,-1 Blacklist,FALSE,-1
_550aa4cd4bdc2dd8348b456c,Silencer,Silencer,Parent Element,-1 Blacklist,FALSE,-1
_550aa4dd4bdc2dc9348b4569,Comb. muzzle device,Comb. muzzle device,Parent Element,-1 Blacklist,FALSE,-1
_550ad14d4bdc2dd5348b456c,PMS,PMS,Parent Element,-1 Blacklist,FALSE,-1
_555ef6e44bdc2de9068b457e,Barrel,Barrel,Parent Element,-1 Blacklist,FALSE,-1
_557596e64bdc2dc2118b4571,Pockets,Pockets,Parent Element,-1 Blacklist,FALSE,-1
_557ff21e4bdc2d89578b4586,Tactical glasses,TGlasses,Vanity,0 None,FALSE,-1
_557ffd194bdc2d28148b457f,Pockets,Pockets,Lootable,-1 Blacklist,FALSE,-1
_5580169d4bdc2d9d138b4585,MP-43-1C 12ga 510mm barrel,MP-43 510mm,Gun Parts,0 None,FALSE,-1
_55801eed4bdc2d89578b4588,SV-98 7.62x54R bolt-action sniper rifle,SV-98,Bolt-Action Rifles,2 Medium,FALSE,-1
_5580223e4bdc2d1c128b457f,MP-43-1C 12ga double-barrel shotgun,MP-43-1C,Shotguns,0 None,FALSE,-1
_558022b54bdc2dac148b458d,EOTech EXPS3 holographic sight (Tan),EXPS3,Sights,0 None,FALSE,-1
_55802d5f4bdc2dac148b458e,5.56x45 Magpul PMAG 30 GEN M3 W STANAG 30-round magazine,GEN M3,Magazines,0 None,FALSE,-1
_55802f3e4bdc2de7118b4584,Gear mod,Gear mod,Parent Element,-1 Blacklist,FALSE,-1
_55802f4a4bdc2ddb688b4569,Essential mod,Essential mod,Parent Element,-1 Blacklist,FALSE,-1
_55802f5d4bdc2dac148b458f,AR-15 Magpul MOE pistol grip (Black),MOE AR15,Pistol Grips,0 None,FALSE,-1
_558032614bdc2de7118b4585,TangoDown Stubby BGV-MK46K foregrip (Black),BGV-MK46K,Foregrips,0 None,FALSE,-1
_55818a104bdc2db9688b4569,Handguard,Handguard,Parent Element,-1 Blacklist,FALSE,-1
_55818a304bdc2db5418b457d,Receiver,Receiver,Parent Element,-1 Blacklist,FALSE,-1
_55818a594bdc2db9688b456a,Stock,Stock,Parent Element,-1 Blacklist,FALSE,-1
_55818a604bdc2db5418b457e,Mag shaft,Mag shaft,Parent Element,-1 Blacklist,FALSE,-1
_55818a684bdc2ddd698b456d,Pistol grip,Pistol grip,Parent Element,-1 Blacklist,FALSE,-1
_55818a6f4bdc2db9688b456b,Charging handle,Charging handle,Parent Element,-1 Blacklist,FALSE,-1
_55818ac54bdc2d5b648b456e,Ironsight,Ironsight,Parent Element,-1 Blacklist,FALSE,-1
_55818acf4bdc2dde698b456b,CompactCollimator,CompactCollimator,Parent Element,-1 Blacklist,FALSE,-1
_55818ad54bdc2ddc698b4569,Collimator,Collimator,Parent Element,-1 Blacklist,FALSE,-1
_55818add4bdc2d5b648b456f,AssaultScope,AssaultScope,Parent Element,-1 Blacklist,FALSE,-1
_55818ae44bdc2dde698b456c,Scope,Scope,Parent Element,-1 Blacklist,FALSE,-1
_55818aeb4bdc2ddc698b456a,Special scope,Special scope,Parent Element,-1 Blacklist,FALSE,-1
_55818af64bdc2d5b648b4570,Foregrip,Foregrip,Parent Element,-1 Blacklist,FALSE,-1
_55818afb4bdc2dde698b456d,Bipod,Bipod,Parent Element,-1 Blacklist,FALSE,-1
_55818b014bdc2ddc698b456b,UBGL,UBGL,Parent Element,-1 Blacklist,FALSE,-1
_55818b084bdc2d5b648b4571,Flashlight,Flashlight,Parent Element,-1 Blacklist,FALSE,-1
_55818b0e4bdc2dde698b456e,Laser designator,Laser designator,Parent Element,-1 Blacklist,FALSE,-1
_55818b164bdc2ddc698b456c,Comb. tact. Device,Comb. tact. Device,Parent Element,-1 Blacklist,FALSE,-1
_55818b1d4bdc2d5b648b4572,Rail covers,Rail covers,Parent Element,-1 Blacklist,FALSE,-1
_55818b224bdc2dde698b456f,Mount,Mount,Parent Element,-1 Blacklist,FALSE,-1
_559ba5b34bdc2d1f1a8b4582,SV-98 7.62x54R polymer 10-round magazine,SV98 poly,Magazines,0 None,FALSE,-1
_55d355e64bdc2d962f8b4569,M4A1 5.56x45 upper receiver,M4A1,Receivers & Slides,0 None,FALSE,-1
_55d35ee94bdc2d61338b4568,AR-15 5.56x45 260mm barrel,AR-15 260mm,Barrels,0 None,FALSE,-1
_55d3632e4bdc2d972f8b4569,AR-15 5.56x45 370mm barrel,AR-15 370mm,Barrels,0 None,FALSE,-1
_55d447bb4bdc2d892f8b456f,MP-43-1C 12ga 725mm barrel,MP-43 725mm,Gun Parts,0 None,FALSE,-1
_55d448594bdc2d8c2f8b4569,MP-133 12ga 610mm barrel,MP133 610mm,Barrels,0 None,FALSE,-1
_55d4491a4bdc2d882f8b456e,MP-133 12ga 510mm barrel,MP133 510mm,Barrels,0 None,FALSE,-1
_55d449444bdc2d962f8b456d,MP-133 12ga 610mm barrel with rib,MP133 610mm rib,Barrels,0 None,FALSE,-1
_55d44fd14bdc2d962f8b456e,AR-15 Colt charging handle,AR-15,Charging Handles,0 None,FALSE,-1
_55d459824bdc2d892f8b4573,AR-15 KAC RIS handguard,KAC RIS,Handguards,0 None,FALSE,-1
_55d45d3f4bdc2d972f8b456c,MP-133 beechwood forestock,MP133 beech,Stocks & Chassis,0 None,FALSE,-1
_55d45f484bdc2d972f8b456d,MP-133 custom plastic forestock with rails,MP133 rails,Handguards,0 None,FALSE,-1
_55d480c04bdc2d1d4e8b456a,AK-74 5.45x39 6L23 30-round magazine,6L23,Magazines,0 None,FALSE,-1
_55d481904bdc2d8c2f8b456a,AK-74 5.45x39 6L26 45-round magazine,6L26,Magazines,0 None,FALSE,-1
_55d482194bdc2d1d4e8b456b,AK-74 5.45x39 6L31 60-round magazine,6L31,Magazines,1 Low,FALSE,-1
_55d4837c4bdc2d1d4e8b456c,AK-74 Saiga 545 5.45x39 10-round magazine,Saiga 545,Magazines,0 None,FALSE,-1
_55d484b44bdc2d1d4e8b456d,MP-133 12ga 6-shell magazine,MP-133x6,Magazines,0 None,FALSE,-1
_55d485804bdc2d8c2f8b456b,MP-133 12ga 8-shell magazine,MP-133x8,Magazines,0 None,FALSE,-1
_55d485be4bdc2d962f8b456f,PM 9x18PM 84-round makeshift drum magazine,PM drum,Magazines,0 None,FALSE,-1
_55d4887d4bdc2d962f8b4570,5.56x45 Colt AR-15 STANAG 30-round magazine,STANAG,Magazines,0 None,FALSE,-1
_55d48a634bdc2d8b2f8b456a,Kiba Arms SPRM rail mount for pump-action shotguns,SPRM,Mounts,3 High,FALSE,-1
_55d48ebc4bdc2d8c2f8b456c,Delta-Tek Sprut mount for pump-action shotguns,Sprut,Mounts,0 None,FALSE,-1
_55d4ae6c4bdc2d8b2f8b456e,High Standard M4SS Stock,M4SS,Stocks & Chassis,0 None,FALSE,-1
_55d4af3a4bdc2d972f8b456f,AR-15 Leapers UTG Low Profile A2 front sight,LPA2 FS,Sights,0 None,FALSE,-1
_55d4b9964bdc2d1d4e8b456e,AR-15 Colt A2 pistol grip,A2,Stocks & Chassis,0 None,FALSE,-1
_55d5f46a4bdc2d1b198b4567,AR-15 Colt A2 rear sight,A2 RS,Stocks & Chassis,0 None,FALSE,-1
_55d614004bdc2d86028b4568,SureFire SOCOM556-MONSTER 5.56x45 sound suppressor,556-MONSTER,Muzzle Devices,2 Medium,FALSE,-1
_55d6190f4bdc2d87028b4567,SureFire SOCOM556-MINI MONSTER 5.56x45 sound suppressor,556-MINI,Muzzle Devices,2 Medium,FALSE,-1
_55d720f24bdc2d88028b456d,Inventory,Inventory,Parent Element,-1 Blacklist,FALSE,-1
_55d7217a4bdc2d86028b456d,Corpse,Corpse,Special,5 Super,FALSE,-1
_55f84c3c4bdc2d5f408b4576,AR-15 Daniel Defense RIS II 9.5 handguard (Coyote Brown),RIS II 9.5 CB,Handguards,0 None,FALSE,-1
_560835c74bdc2dc8488b456f,MP-133 12ga 510mm barrel with rib,MP133 510mm rib,Barrels,0 None,FALSE,-1
_560836484bdc2d20478b456e,MP-133 12ga 540mm barrel,MP133 540mm,Barrels,0 None,FALSE,-1
_560836b64bdc2d57468b4567,MP-133 12ga 540mm barrel with rib,MP133 540mm rib,Barrels,0 None,FALSE,-1
_560836fb4bdc2d773f8b4569,MP-133 12ga 660mm barrel,MP133 660mm,Barrels,0 None,FALSE,-1
_560837154bdc2da74d8b4568,MP-133 12ga 660mm barrel with rib,MP133 660mm rib,Barrels,0 None,FALSE,-1
_5608373c4bdc2dc8488b4570,MP-133 12ga 710mm barrel,MP133 710mm,Barrels,0 None,FALSE,-1
_560837544bdc2de22e8b456e,MP-133 12ga 710mm barrel with rib,MP133 710mm rib,Barrels,0 None,FALSE,-1
_560837824bdc2d57468b4568,MP-133 12ga 750mm barrel,MP133 750mm,Barrels,0 None,FALSE,-1
_5608379a4bdc2d26448b4569,MP-133 12ga 750mm barrel with rib,MP133 750mm rib,Barrels,0 None,FALSE,-1
_560838c94bdc2d77798b4569,Remington Tactical Choke 12ga,RTC 12ga,Muzzle Devices,0 None,FALSE,-1
_56083a334bdc2dc8488b4571,MP-133/153 plastic pistol grip,133/153,Pistol Grips,0 None,FALSE,-1
_56083be64bdc2d20478b456f,MP-133/153 plastic stock,133/153 plastic,Stocks & Chassis,0 None,FALSE,-1
_56083cba4bdc2de22e8b456f,MP-133/153 wooden stock,133/153 wood,Stocks & Chassis,0 None,FALSE,-1
_56083e1b4bdc2dc8488b4572,SV-98 rear sight,SV98 RS,Sights,0 None,FALSE,-1
_56083eab4bdc2d26448b456a,SV-98 anti-heat ribbon,SV98 HR,Auxillary Parts,0 None,FALSE,-1
_560d5e524bdc2d25448b4571,12/70 7mm buckshot,7mm,12ga,0 None,FALSE,-1
_560d61e84bdc2da74d8b4571,7.62x54mm R SNB gzh,SNB,7.62x54R,0 None,FALSE,-1
_560d657b4bdc2da74d8b4572,Zenit Klesch-2P flashlight with laser,Klesch-2P,Lights & Lasers,0 None,FALSE,-1
_560d75f54bdc2da74d8b4573,7.62x54mm R SNB gzh ammo pack (30 pcs),SNB,7.62x54R,0 None,FALSE,-1
_560e620e4bdc2d724b8b456b,SV-98 muzzle device,SV98 MD,Muzzle Devices,0 None,FALSE,-1
_5644bd2b4bdc2d3b4c8b4572,Kalashnikov AK-74N 5.45x39 assault rifle,AK-74N,Assault Rifles,4 Ultra,FALSE,-1
_5645bc214bdc2d363b8b4571,FORT Kiver-M bulletproof helmet,Kiver-M,Armored Helmets,0 None,FALSE,3
_5645bcb74bdc2ded0b8b4578,Headphones,Headphones,Parent Element,-1 Blacklist,FALSE,-1
_5645bcc04bdc2d363b8b4572,Peltor ComTac 2 headset,ComTac2,Headsets,2 Medium,FALSE,-1
_5648a69d4bdc2ded0b8b457b,BlackRock chest rig,BlackRock,Tactical Rigs,4 Ultra,FALSE,-1
_5648a7494bdc2d9d488b4583,PACA Soft Armor,PACA,Armor Vests,0 None,FALSE,2
_5648ac824bdc2ded0b8b457d,AK Zenit RP-1 charging handle,RP-1,Charging Handles,0 None,FALSE,-1
_5648ae314bdc2d3d1c8b457f,AK CAA RS47 handguard,RS47,Handguards,0 None,FALSE,-1
_5648b0744bdc2d363b8b4578,AK-74 wooden handguard (6P20 Sb.6),6P20 Sb.6,Handguards,0 None,FALSE,-1
_5648b1504bdc2d9d488b4584,AK-74 polymer handguard (6P20 Sb.9),6P20 Sb.9,Handguards,0 None,FALSE,-1
_5648b2414bdc2d3b4c8b4578,UltiMAK M1-B handguard for AK,UltiMAK M1-B handguard for AK,Handguards,0 None,FALSE,-1
_5648b4534bdc2d3d1c8b4580,AK Zenit B-10M handguard with B-19 upper mount,B10M+B19,Handguards,0 None,FALSE,-1
_5648b62b4bdc2d9d488b4585,GP-34 underbarrel grenade launcher,GP-34,Machine Guns,0 None,FALSE,-1
_5648b6ff4bdc2d3d1c8b4581,TT10000 Mount,TT10000 Mount,Mounts,1 Low,FALSE,-1
_5649a2464bdc2d91118b45a8,NcSTAR MPR45 Backup mount,MPR45,Mounts,3 High,FALSE,-1
_5649aa744bdc2ded0b8b457e,AK-74 5.45x39 muzzle brake-compensator (6P20 0-20),6P20 0-20,Receivers & Slides,0 None,FALSE,-1
_5649ab884bdc2ded0b8b457f,AK Zenit DTK-1 7.62x39/5.45x39 muzzle brake-compensator,DTK-1,Muzzle Devices,0 None,FALSE,-1
_5649ad3f4bdc2df8348b4585,AK bakelite pistol grip (6P1 Sb.8V),6P1 Sb.8V,Receivers & Slides,0 None,FALSE,-1
_5649ade84bdc2d1b2b8b4587,AK polymer pistol grip (6P1 Sb.8),6P1 Sb.8,Pistol Grips,0 None,FALSE,-1
_5649ae4a4bdc2d1b2b8b4588,AK Zenit RK-3 pistol grip,RK-3,Foregrips,0 None,FALSE,-1
_5649af094bdc2df8348b4586,AK-74 dust cover (6P20 0-1),6P1 0-1,Receivers & Slides,0 None,FALSE,-1
_5649af884bdc2d1b2b8b4589,AK Zenit B-33 dust cover,B-33,Receivers & Slides,0 None,FALSE,-1
_5649b0544bdc2d1b2b8b458a,AK-74 rear sight (6P20 Sb.2),6P20 Sb.2,Gas Blocks,0 None,FALSE,-1
_5649b0fc4bdc2d17108b4588,AK-74 polymer stock (6P20 Sb.7),6P20 Sb.7,Stocks & Chassis,0 None,FALSE,-1
_5649b1c04bdc2d16268b457c,AK-74 wooden stock (6P20 Sb.5),6P20 Sb.5,Stocks & Chassis,0 None,FALSE,-1
_5649b2314bdc2d79388b4576,AKM/AK-74 ME4 buffer tube adapter,ME4,Stocks & Chassis,0 None,FALSE,-1
_5649be884bdc2d79388b4577,Colt A1 buffer tube,Colt A1,Stocks & Chassis,0 None,FALSE,-1
_5649d9a14bdc2d79388b4580,AK Taktika Tula TT01 rear sight rail,TT01,Mounts,1 Low,FALSE,-1
_5649ed104bdc2d3d1c8b458b,7.62x39mm PS gzh ammo pack (30 pcs),PS,7.62x39,0 None,FALSE,-1
_564ca99c4bdc2d16268b4589,AK-74 5.45x39 6L20 30-round magazine,6L20,Magazines,0 None,FALSE,-1
_564ca9df4bdc2d35148b4569,AK-74 5.45x39 6L18 45-round magazine,6L18,Magazines,0 None,FALSE,-1
_564caa3d4bdc2d17108b458e,AK 5.45x39 TGP-A muzzle device-suppressor,TGP-A,Muzzle Devices,1 Low,FALSE,-1
_5656d7c34bdc2d9d198b4587,7.62x39mm PS gzh,PS,7.62x39,0 None,FALSE,-1
_5656eb674bdc2d35148b457c,40mm VOG-25,40mm,Barter Items,0 None,FALSE,-1
_566162e44bdc2d3f298b4573,Compound item,Compound item,Parent Element,-1 Blacklist,FALSE,-1
_5661632d4bdc2d903d8b456b,Stackable item,Stackable item,Parent Element,-1 Blacklist,FALSE,-1
_566168634bdc2d144c8b456c,Searchable item,Searchable item,Parent Element,-1 Blacklist,FALSE,-1
_566965d44bdc2d814c8b4571,Loot Container,Loot Container,Parent Element,-1 Blacklist,FALSE,-1
_566abbb64bdc2d144c8b457d,Stash,Stash,Parent Element,-1 Blacklist,FALSE,-1
_566abbc34bdc2d92178b4576,Stash 10x23,Stash 10x23,Stash,0 None,FALSE,-1
_5671435f4bdc2d96058b4569,Locking container,Locking container,Parent Element,-1 Blacklist,FALSE,-1
_567143bf4bdc2d1a0f8b4567,Pistol case,Pistols,Container,4 Ultra,FALSE,-1
_5672c92d4bdc2d180f8b4567,Dorm room 118 key,Dorm 118,Keys,0 None,FALSE,-1
_5672cb124bdc2d1a0f8b4568,AA Battery,AA batt.,Barter Items,0 None,FALSE,-1
_5672cb304bdc2dc2088b456a,D Size battery,D batt.,Barter Items,0 None,FALSE,-1
_5672cb724bdc2dc2088b456b,Geiger-Muller counter,GMcount,Barter Items,2 Medium,FALSE,-1
_5673de654bdc2d180f8b456d,Can of pacific saury,Saury,Provisions,0 None,FALSE,-1
_56742c284bdc2d98058b456d,Crickent lighter,Crickent,Barter Items,0 None,FALSE,-1
_56742c2e4bdc2d95058b456d,Zibbo lighter,Zibbo,Barter Items,0 None,FALSE,-1
_56742c324bdc2d150f8b456d,Broken GPhone smartphone,GPhone,Barter Items,1 Low,FALSE,-1
_567583764bdc2d98058b456e,Stationary container,Stationary container,Parent Element,-1 Blacklist,FALSE,-1
_567849dd4bdc2d150f8b456e,Map,Map,Parent Element,0 None,FALSE,-1
_5696686a4bdc2da3298b456a,Dollars,USD,Currency,0 None,FALSE,-1
_569668774bdc2da2298b4568,Euros,EUR,Currency,0 None,FALSE,-1
_56d59856d2720bd8418b456a,SIG P226R 9x19 pistol,P226R,Pistols,0 None,FALSE,-1
_56d59948d2720bb7418b4582,P226 9x19 15-round magazine,P226,Magazines,0 None,FALSE,-1
_56d59d3ad2720bdb418b4577,9x19mm Pst gzh,Pst,9x19,0 None,FALSE,-1
_56d5a1f7d2720bb3418b456a,P226 9x19 112mm barrel,P226 112mm,Barrels,0 None,FALSE,-1
_56d5a2bbd2720bb8418b456a,P226 polymer pistol grip (Black),P226 Black,Pistol Grips,0 None,FALSE,-1
_56d5a407d2720bb3418b456b,P226R MK25 pistol slide,P226 Slide,Receivers & Slides,0 None,FALSE,-1
_56d5a661d2720bd8418b456b,P226 front sight,P226 FS,Sights,0 None,FALSE,-1
_56d5a77ed2720b90418b4568,P226 rear sight,P226 RS,Sights,0 None,FALSE,-1
_56dee2bdd2720bc8328b4567,MP-153 12ga semi-automatic shotgun,MP-153,Shotguns,0 None,FALSE,-1
_56deec93d2720bec348b4568,MP-153 12ga 750mm barrel,MP153 750mm,Barrels,0 None,FALSE,-1
_56deed6ed2720b4c698b4583,MP-153 polymer forestock,MP153 Poly,Stocks & Chassis,0 None,FALSE,-1
_56deee15d2720bee328b4567,MP-153 12ga 4-shell forend cap,MP153x4,Magazines,0 None,FALSE,-1
_56deeefcd2720bc8328b4568,MP-153 12ga 8-shell magazine,MP153x8,Magazines,0 None,FALSE,-1
_56def37dd2720bec348b456a,SureFire X400 Ultra tactical flashlight with laser,X400,Lights & Lasers,0 None,FALSE,-1
_56dfef82d2720bbd668b4567,5.45x39mm BP gs,BP,5.45x39,1 Low,FALSE,-1
_56dff026d2720bb8668b4567,5.45x39mm BS gs,BS,5.45x39,1 Low,FALSE,-1
_56dff061d2720bb5668b4567,5.45x39mm BT gs,BT,5.45x39,1 Low,FALSE,-1
_56dff0bed2720bb0668b4567,5.45x39mm FMJ,FMJ,5.45x39,0 None,FALSE,-1
_56dff216d2720bbd668b4568,5.45x39mm HP,HP,5.45x39,0 None,FALSE,-1
_56dff2ced2720bb4668b4567,5.45x39mm PP gs,PP,5.45x39,0 None,FALSE,-1
_56dff338d2720bbd668b4569,5.45x39mm PRS gs,PRS,5.45x39,0 None,FALSE,-1
_56dff3afd2720bba668b4567,5.45x39mm PS gs,PS,5.45x39,0 None,FALSE,-1
_56dff421d2720b5f5a8b4567,5.45x39mm SP,SP,5.45x39,0 None,FALSE,-1
_56dff4a2d2720bbd668b456a,5.45x39mm T gs,T,5.45x39,0 None,FALSE,-1
_56dff4ecd2720b5f5a8b4568,5.45x39mm US gs,US,5.45x39,0 None,FALSE,-1
_56e0598dd2720bb5668b45a6,PB 9x18PM silenced pistol,PB,Pistols,0 None,FALSE,-1
_56e05a6ed2720bd0748b4567,PB bakilte side grips,PB bak.,Pistol Grips,0 None,FALSE,-1
_56e05b06d2720bb2668b4586,PB 9x18PM sound suppressor,PB supp.,Muzzle Devices,0 None,FALSE,-1
_56e294cdd2720b603a8b4575,Mystery Ranch Terraplane backpack,Terraplane 85L,Unknown,0 None,FALSE,-1
_56e335e4d2720b6c058b456d,Scav backpack,ScavBP,Backpacks,0 None,FALSE,-1
