FriendlyName,TypeName,EntityType,Category,Notes,ConfigName,CleanName,ModelName
Boonie Hat,BoonieHat_Olive,Loot,Headwear,,clothing,Boonie Hat,
Boonie Hat,BoonieHat_Orange,Loot,Headwear,,clothing,Boonie Hat,
Boonie Hat,BoonieHat_Red,Loot,Headwear,,clothing,Boonie Hat,
Brass Knuckles,BrassKnuckles_Shiny,Loot,Melee Weapons,,inventoryItem,Brass Knuckles,
Capri Pants,Breeches_Beetcheck,Loot,Pants,,clothing,Capri Pants,
Breeches,Breeches_Beige,Loot,Pants,,clothing,Capri Pants,
Breeches,Breeches_Black,Loot,Pants,,clothing,Capri Pants,
Breeches,Breeches_Browncheck,Loot,Pants,,clothing,Capri Pants,
Breeches,Breeches_Green,Loot,Pants,,clothing,Capri Pants,
Capri Pants,Breeches_Red,Loot,Pants,,clothing,Capri Pants,
Burlap Sack,BurlapSack,Loot,Headwear,,inventoryItem,Burlap Sack,
Cable Reel,CableReel,Loot,Equipment,Camping Gear,inventoryItem,Cable Reel,
Canister Gasoline,CanisterGasoline,Loot,Liquid Containers,,inventoryItem,Jerrycan,
Can Opener,CanOpener,Loot,Tools,,inventoryItem,Can Opener,
Canteen,Canteen,Loot,Liquid Containers,,inventoryItem,Canteen,
Canvas Pants,CanvasPants_Beige,Loot,Pants,,clothing,Hiking Pants,
Hiking Pants,CanvasPants_Grey,Loot,Pants,,clothing,Hiking Pants,
Canvas Pants,CanvasPants_Red,Loot,Pants,,clothing,Hiking Pants,
Hiking Pants,CanvasPants_Violet,Loot,Pants,,clothing,Hiking Pants,
Hiking Pants,CanvasPantsMidi_Grey,Loot,Pants,,clothing,Crop Hiking Pants,
Canvas Pants,CanvasPantsMidi_Violet,Loot,Pants,,clothing,Crop Hiking Pants,
Car Battery,CarBattery,Loot,Vehicle Parts,,inventoryItem,Car Battery,
Cargo Pants,CargoPants_Blue,Loot,Pants,,clothing,Cargo Pants,
Cargo Pants,CargoPants_Grey,Loot,Pants,,clothing,Cargo Pants,
Car Radiator,CarRadiator,Loot,Vehicle Parts,,inventoryItem,Car Radiator,
Car Tent,CarTent,Loot,Camping,Camping Gear,inventoryItem,Car Tent,
Glow Stick,Chemlight_Blue,Loot,Light Sources,,inventoryItem,Glow Stick,
Glow Stick,Chemlight_Green,Loot,Light Sources,,inventoryItem,Glow Stick,
Glow Stick,Chemlight_Red,Loot,Light Sources,,inventoryItem,Glow Stick,
Glow Stick,Chemlight_White,Loot,Light Sources,,inventoryItem,Glow Stick,
Glow Stick,Chemlight_Yellow,Loot,Light Sources,,inventoryItem,Glow Stick,
Tourist Map,ChernarusMap,Loot,Navigation,,ItemMap,Tourist Map,
Chernarus Sport Shirt,ChernarusSportShirt,Loot,Shirts,,clothing,Sports Shirt,
Chest Holster,ChestHolster,Loot,Holsters,,clothing,Chest Holster,
School Backpack,ChildBag_Blue,Loot,Backpacks,,clothing,School Backpack,
Child Bag,ChildBag_Green,Loot,Backpacks,,clothing,School Backpack,
School Bag,ChildBag_Red,Loot,Backpacks,,clothing,School Backpack,
Belt,CivilianBelt,Loot,Belts,,clothing,Belt,
Olga 24 Rear Left Door,CivSedanDoors_BackLeft_BlackRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Rear Left Door,
Olga 24 Rear Left Door,CivSedanDoors_BackLeft_WhiteRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Rear Left Door,
Olga 24 Rear Left Door,CivSedanDoors_BackLeft_WineRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Rear Left Door,
Olga 24 Rear Right Door,CivSedanDoors_BackRight_BlackRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Rear Right Door,
CivSedanDoors_BackRight_WhiteRust,CivSedanDoors_BackRight_WhiteRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Rear Right Door,
Olga 24 Rear Right Door,CivSedanDoors_BackRight_WineRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Rear Right Door,
Olga 24 Front Right Door,CivSedanDoors_CoDriver_BlackRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Front Right Door,
Olga 24 Front Right Door,CivSedanDoors_CoDriver_WhiteRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Front Right Door,
Olga 24 Front Right Door,CivSedanDoors_CoDriver_WineRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Front Right Door,
Olga 24 Front Left Door,CivSedanDoors_Driver_BlackRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Front Left Door,
Olga 24 Front Left Door,CivSedanDoors_Driver_WhiteRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Front Left Door,
Olga 24 Front Left Door,CivSedanDoors_Driver_WineRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Front Left Door,
Olga 24 Hood,CivSedanHood_BlackRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Hood,
Olga 24 Hood,CivSedanHood_WhiteRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Hood,
Olga 24 Hood,CivSedanHood_WineRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Hood,
Olga 24 Trunk Lid,CivSedanTrunk_BlackRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Trunk Lid,
Olga 24 Trunk Lid,CivSedanTrunk_WhiteRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Trunk Lid,
Olga 24 Trunk Lid,CivSedanTrunk_WineRust,Loot,Vehicle Parts,,inventoryItem,Olga 24 Trunk Lid,
Olga 24 Wheel,CivSedanWheel,Loot,Vehicle Parts,,carwheel,Olga 24 Wheel,
Colt 1911,Colt1911,Loot,Weapons,,Weapons,Kolt 1911,
Hunter Boots,CombatBoots_Beige,Loot,Shoes,,clothing,Hunter Boots,
Hunter Boots,CombatBoots_Black,Loot,Shoes,,clothing,Hunter Boots,
Hunter Boots,CombatBoots_Brown,Loot,Shoes,,clothing,Hunter Boots,
Hunter Boots,CombatBoots_Green,Loot,Shoes,,clothing,Hunter Boots,
3-Dial Combination Lock,CombinationLock,Loot,Construction,,inventoryItem,3-Dial Combination Lock,
4-Dial Combination Lock,CombinationLock4,Loot,Construction,,inventoryItem,4-Dial Combination Lock,
Compass,Compass,Loot,Navigation,,ItemCompass,Compass,
Construction Helmet,ConstructionHelmet_Blue,Loot,Headwear,,clothing,Hard Hat,
Construction Helmet,ConstructionHelmet_Lime,Loot,Headwear,,clothing,Hard Hat,
Hard Hat,ConstructionHelmet_Orange,Loot,Headwear,,clothing,Hard Hat,
Hard Hat,ConstructionHelmet_Red,Loot,Headwear,,clothing,Hard Hat,
Hard Hat,ConstructionHelmet_White,Loot,Headwear,,clothing,Hard Hat,
Construction Helmet,ConstructionHelmet_Yellow,Loot,Headwear,,clothing,Hard Hat,
Cowboy Hat,CowboyHat_Brown,Loot,Headwear,,clothing,Cowboy Hat,
Crowbar,Crowbar,Loot,Tools,,inventoryItem,Crowbar,
CR-527,CZ527,Loot,Weapons,,Weapons,CR-527,
CR-75,CZ75,Loot,Weapons,,Weapons,CR-75,
Motorbike Helmet,DarkMotoHelmet_Black,Loot,Headwear,,clothing,Motorbike Helmet,
DarkMotoHelmet,DarkMotoHelmet_Green,Loot,Headwear,,clothing,Motorbike Helmet,
DarkMotoHelmet,DarkMotoHelmet_Grey,Loot,Headwear,,clothing,Motorbike Helmet,
DarkMotoHelmet,DarkMotoHelmet_Lime,Loot,Headwear,,clothing,Motorbike Helmet,
DarkMotoHelmet,DarkMotoHelmet_Red,Loot,Headwear,,clothing,Motorbike Helmet,
Motorbike Helmet,DarkMotoHelmet_White,Loot,Headwear,,clothing,Motorbike Helmet,
Deagle,Deagle,Loot,Weapons,,Weapons,Deagle,
Deagle,Deagle_Gold,Loot,Weapons,,Weapons,Deagle,
Denim Jacket,DenimJacket,Loot,Shirts,,clothing,Denim Jacket,
Dirt Bike Helmet,DirtBikeHelmet_Chernarus,Loot,Headwear,,clothing,Enduro Helmet,
Dirt Bike Helmet Mouthguard,DirtBikeHelmet_Mouthguard,Loot,Headwear,,clothing,Enduro Helmet Mouthguard,
Dirt Bike Helmet Visor,DirtBikeHelmet_Visor,Loot,Headwear,,clothing,Enduro Helmet Visor,
Alcoholic Tincture,DisinfectantAlcohol,Loot,Medical,,inventoryItem,Alcoholic Tincture,
Disinfectant Spray,DisinfectantSpray,Loot,Medical,,inventoryItem,Disinfectant Spray,
Dress Shoes,DressShoes_Beige,Loot,Shoes,,clothing,Dress Shoes,
Dress Shoes,DressShoes_Black,Loot,Shoes,,clothing,Dress Shoes,
Dress Shoes,DressShoes_Brown,Loot,Shoes,,clothing,Dress Shoes,
Dress Shoes,DressShoes_Sunburst,Loot,Shoes,,clothing,Dress Shoes,
Dry Bag,DryBag_Black,Loot,Backpacks,,clothing,Drybag Backpack,
Dry Bag,DryBag_Blue,Loot,Backpacks,,clothing,Drybag Backpack,
Dry Bag,DryBag_Green,Loot,Backpacks,,clothing,Drybag Backpack,
Dry Bag,DryBag_Orange,Loot,Backpacks,,clothing,Drybag Backpack,
Dry Bag,DryBag_Red,Loot,Backpacks,,clothing,Drybag Backpack,
Dry Bag,DryBag_Yellow,Loot,Backpacks,,clothing,Drybag Backpack,
Duct Tape,DuctTape,Loot,Crafting,,inventoryItem,Duct Tape,
Electrical Repair Kit,ElectronicRepairKit,Loot,Repair Kits,,inventoryItem,Electrical Repair Kit,
Engraved Kolt 1911,Engraved1911,Loot,Weapons,,Weapons,Engraved Kolt 1911,
Epinephrine Auto-Injector,Epinephrine,Loot,Medical,,inventoryItem,Epinephrine Auto-Injector,
Epoxy Putty,EpoxyPutty,Loot,Repair Kits,,inventoryItem,Epoxy Putty,
Tarp,Fabric,Loot,Crafting,,inventoryItem,Tarp,
LAR Folding Buttstock,Fal_FoldingBttstck,Loot,Attachments,,inventoryItem,LAR Folding Buttstock,
Fence,Fence,Loot,Construction,Camping Gear,inventoryItem,Fence,
Fireplace,Fireplace,Loot,Construction,,inventoryItem,Fireplace,
First Aid Kit,FirstAidKit,Loot,Medical,,inventoryItem,First Aid Pouch,
Fishing Rod,FishingRod,Loot,Fishing,,inventoryItem,Fishing Rod,
Flag,Flag_CMC,Loot,Equipment,,inventoryItem,Flag,
Flag,Flag_DayZ,Loot,Equipment,,inventoryItem,Flag,
Flag,Flag_White,Loot,Equipment,,inventoryItem,Flag,
Signal Pistol,Flaregun,Loot,Weapons,,Weapons,Signal Pistol,
Flashlight,Flashlight,Loot,Light Sources,,inventoryItem,Flashlight,
Flat Cap,FlatCap_Black,Loot,Headwear,,clothing,Flat Cap,
Flat Cap,FlatCap_Blue,Loot,Headwear,,clothing,Flat Cap,
Flat Cap,FlatCap_Brown,Loot,Headwear,,clothing,Flat Cap,
Flat Cap,FlatCap_BrownCheck,Loot,Headwear,,clothing,Flat Cap,
Flat Cap,FlatCap_Grey,Loot,Headwear,,clothing,Flat Cap,
Flat Cap,FlatCap_GreyCheck,Loot,Headwear,,clothing,Flat Cap,
Flat Cap,FlatCap_Red,Loot,Headwear,,clothing,Flat Cap,
Mini Sights,FNP45_MRDSOptic,Loot,Optics,,itemoptics,Mini Sights,
FX-45,FNX45,Loot,Weapons,,Weapons,FX-45,
Frying Pan,FryingPan,Loot,Cooking,,inventoryItem,Frying Pan,
GardenLime,GardenLime,Loot,Food,,inventoryItem,Garden Lime,
Ghillie Rifle Wrap,GhillieAtt_Mossy,Loot,Ghillie,,inventoryItem,Ghillie Rifle Wrap,
Ghillie Att Woodland,GhillieAtt_Woodland,Loot,Ghillie,,inventoryItem,Ghillie Rifle Wrap,
Ghillie Hood,GhillieHood_Woodland,Loot,Ghillie,,clothing,Ghillie Hood,
Ghillie Suit Woodland,GhillieSuit_Woodland,Loot,Shirts,,clothing,Ghillie Suit,
Patrol Jacket,GorkaEJacket_Flat,Loot,Shirts,,clothing,Patrol Jacket,
Assault Helmet Visor,GorkaHelmetVisor,Loot,Headwear,,inventoryItem,Assault Helmet Visor,
Patrol Pants,GorkaPants_Summer,Loot,Pants,,clothing,Patrol Pants,
Great Helm,GreatHelm,Loot,Headwear,,clothing,Great Helm,
Hacksaw,Hacksaw,Loot,Tools,,inventoryItem,Hacksaw,
Hammer,Hammer,Loot,Tools,,inventoryItem,Hammer,
Hand Saw,HandSaw,Loot,Tools,,inventoryItem,Hand Saw,
Gunter 2 Front Left Door,Hatchback_02_Door_1_1_BlackRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Front Left Door,
Gunter 2 Front Left Door,Hatchback_02_Door_1_1_BlueRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Front Left Door,
Gunter 2 Front Left Door,Hatchback_02_Door_1_1_RedRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Front Left Door,
Hatchback_02_Door_1_2_BlackRust,Hatchback_02_Door_1_2_BlackRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Rear Left Door,
Gunter 2 Rear Left Door,Hatchback_02_Door_1_2_BlueRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Rear Left Door,
Hatchback_02_Door_1_2_RedRust,Hatchback_02_Door_1_2_RedRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Rear Left Door,
Gunter 2 Front Right Door,Hatchback_02_Door_2_1_BlackRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Front Right Door,
Gunter 2 Front Right Door,Hatchback_02_Door_2_1_BlueRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Front Right Door,
Gunter 2 Front Right Door,Hatchback_02_Door_2_1_RedRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Front Right Door,
Gunter 2 Rear Right Door,Hatchback_02_Door_2_2_BlackRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Rear Right Door,
Gunter 2 Rear Right Door,Hatchback_02_Door_2_2_BlueRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Rear Right Door,
Gunter 2 Rear Right Door,Hatchback_02_Door_2_2_RedRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Rear Right Door,
Gunter 2 Hood,Hatchback_02_Hood_BlackRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Hood,
Gunter 2 Hood,Hatchback_02_Hood_BlueRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Hood,
Hatchback_02_Hood_RedRust,Hatchback_02_Hood_RedRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Hood,
Gunter 2 Trunk Door,Hatchback_02_Trunk_BlackRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Trunk Door,
Gunter 2 Trunk Door,Hatchback_02_Trunk_BlueRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Trunk Door,
Gunter 2 Trunk Door,Hatchback_02_Trunk_RedRust,Loot,Vehicle Parts,,inventoryItem,Gunter 2 Trunk Door,
Gunter 2 Wheel,Hatchback_02_Wheel,Loot,Vehicle Parts,,carwheel,Gunter 2 Wheel,
Ada 4x4 Right Door,HatchbackDoors_CoDriver_BlueRust,Loot,Vehicle Parts,,inventoryItem,Ada 4x4 Right Door,
Ada 4x4 Right Door,HatchbackDoors_CoDriver_GreenRust,Loot,Vehicle Parts,,inventoryItem,Ada 4x4 Right Door,
Ada 4x4 Right Door,HatchbackDoors_CoDriver_WhiteRust,Loot,Vehicle Parts,,inventoryItem,Ada 4x4 Right Door,
Ada 4x4 Left Door,HatchbackDoors_Driver_BlueRust,Loot,Vehicle Parts,,inventoryItem,Ada 4x4 Left Door,
Ada 4x4 Left Door,HatchbackDoors_Driver_GreenRust,Loot,Vehicle Parts,,inventoryItem,Ada 4x4 Left Door,
