Id,FriendlyName,Category,Priority
_58820d1224597753c90aeb13,12x70 Slug,Ammo,0 None
_5c0d591486f7744c505b416f,12x70 RIP,Ammo,0 None
_5d6e68c4a4b9361b93413f79,.50 12c,Ammo,0 None
_5c5db5c62e22160012542255,"14"" MPX 9x19",Attachments,0 None
_5bb20d9cd4351e00334c9d8a,"14.5"" 416A5 5.56x45",Attachments,0 None
_5beec1bd0db834001e6006f3,"15"" RPK-16 5.45x39",Attachments,0 None
_5dcbe9431e1f4616d354987e,"16"" MDR 308",Attachments,0 None
_573722e82459776104581c21,BZHT gzh,Ammo Pack,0 None
_573724b42459776125652ac2,16 pcs. 9x18 PM P gzh ammo box,Ammo Pack,0 None
_5737250c2459776125652acc,PBM,Ammo Pack,0 None
_5737256c2459776125652acd,PMM,Ammo Pack,0 None
_573725b0245977612125bae2,Ppe gzh,Ammo Pack,0 None
_5737260b24597761224311f2,16 pcs. 9x18 PM PPT gzh ammo box,Ammo Pack,0 None
_5737266524597761006c6a8c,16 pcs. 9x18 PM PRS gs ammo box,Ammo Pack,0 None
_573726d824597765d96be361,16 pcs. 9x18 PM PS gs PPO ammo box,Ammo Pack,0 None
_5737273924597765dd374461,16 pcs. 9x18 PM PSO gzh ammo box,Ammo Pack,0 None
_573727c624597765cc785b5b,16 pcs. 9x18 PM Pst gzh ammo box,Ammo Pack,0 None
_5737280e24597765cc785b5c,16 pcs. 9x18 PM PSV ammo box,Ammo Pack,0 None
_5737287724597765e1625ae2,16 pcs. 9x18 PM RG028 gzh ammo box,Ammo Pack,0 None
_573728cc24597765cc785b5d,SP7 gzh,Ammo Pack,0 None
_573728f324597765e5728561,SP8 gzh,Ammo Pack,0 None
_5739d41224597779c3645501,Pst Gzh,Ammo Pack,0 None
_5aaf9d53e5b5b00015042a52,"16"" M1A 7.62x51",Attachments,0 None
_5cc701d7e4a94900100ac4e7,"16"" P90 5.7x28",Attachments,0 None
_5b7be1125acfc4001876c0e5,"16"" SA-58 7.62x51",Attachments,0 None
_5df917564a9f347bc92edca3,"16"" SR-25 7.62x51",Attachments,0 None
_5bb20da5d4351e0035629dbf,"16.5"" 416A5 5.56x45",Attachments,0 None
_58aeaaa886f7744fc1560f81,165mm MPXSD 9x19,Attachments,0 None
_5a34f7f1c4a2826c6e06d75d,"18"" AR-10",Attachments,0 None
_5d440b93a4b9364276578d4b,"18"" AR-15 5.56x45",Attachments,0 None
_5d0b5cd3d7ad1a3fe32ad263,1P59 eyecup,Attachments,0 None
_5c11279ad174af029d64592b,Warmage,Ammo Pack,0 None
_5c1127bdd174af44217ab8b9,20 pcs. 9x19 mm DIPP ammo box,Ammo Pack,0 None
_5bb20dadd4351e00367faeff,"20"" 416A5 5.56x45",Attachments,0 None
_5bfebc320db8340019668d79,"20"" M700 7.62x51",Attachments,0 None
_5d440b9fa4b93601354d480c,"20"" AR-15 5.56x45",Attachments,0 None
_5dfa397fb11454561e39246c,"20"" SR-25 7.62x51",Attachments,0 None
_5d2703038abbc3105103d94c,"20"" stainless steel barrel for a Remington M700 7.62x51 NATO",Attachments,0 None
_5d6e695fa4b936359b35d852,5.6 20c,Ammo,0 None
_5d6e69b9a4b9361bc8618958,6.2 20k,Ammo,0 None
_5d6e69c7a4b9360b6c0d54e4,7.3 20c,Ammo,0 None
_5d6e6a5fa4b93614ec501745,Dev.,Ammo,0 None
_5d6e6a53a4b9361bd473feec,P-3 20c,Ammo,0 None
_5d6e6a42a4b9364f07165f52,P-6u 20c,Ammo,0 None
_5d6e6a05a4b93618084f58d0,20/70 Slug,Ammo,0 None
_5894a2c386f77427140b8342,203mm MPX 9x19,Attachments,0 None
_57838f9f2459774a150289a0,6L25,Attachments,0 None
_5c88f24b2e22160bc12c69a6,20-round SVD 7.62x54 magazine,Attachments,0 None
_5a38ebd9c4a282000d722a5b,7.5 20c,Ammo,0 None
_5b7be1265acfc400161d0798,"21"" SA-58 7.62x51",Attachments,0 None
_5a34fae7c4a2826c6e06d760,"22"" AR-10",Attachments,0 None
_5addbac75acfc400194dbc56,"22"" M1A 7.62x51",Attachments,0 None
_5c471cb32e221602b177afaa,"22"" SVDS",Attachments,0 None
_5beec2820db834001b095426,"22"" RPK-16 5.45x39",Attachments,0 None
_5de65547883dde217541644b,"23"" barrel for a VPO-215 .366TKM",Attachments,0 None
_57d17e212459775a1179a0f5,25 mm ring,Attachments,0 None
_5dff77c759400025ea5150cf,UTG 25mm,Attachments,0 None
_5bfebc250db834001a6694e1,"26"" M700",Attachments,0 None
_5d2702e88abbc31ed91efc44,"26"" stainless steel barrel for a Remington M700 7.62x51 NATO",Attachments,0 None
_55d35ee94bdc2d61338b4568,260mm AR-15 5.56x45,Attachments,0 None
_5a5f1ce64f39f90b401987bc,2IRS,Attachments,0 None
_560d657b4bdc2da74d8b4572,Klesch,Attachments,0 None
_5a38ee51c4a282000c5a955c,20-01 Sb.3x2,Attachments,0 None
_5b3a337e5acfc4704b4a19a0,"2U ""Kleh""",Attachments,0 None
_5926e16e86f7742f5a0f7ecb,3 Lug,Attachments,0 None
_5c0000c00db834001a6697fc,3 Lug thr.,Attachments,0 None
_5c1262a286f7743f8a69aab2,7N39,Ammo Pack,1 Low
_57372ac324597767001bc261,BP,Ammo Pack,1 Low
_57372bd3245977670b7cd243,BS,Ammo Pack,1 Low
_57372c89245977685d4159b1,BT,Ammo Pack,1 Low
_5737330a2459776af32363a1,30 pcs. 5.45x39 FMJ ammo box,Ammo Pack,0 None
_5737339e2459776af261abeb,30 pcs. 5.45x39 HP ammo box,Ammo Pack,0 None
_57372db0245977685d4159b2,PP gs,Ammo Pack,0 None
_57372e4a24597768553071c2,PRS gs,Ammo Pack,0 None
_57372ebf2459776862260582,PS gs,Ammo Pack,0 None
_573733c72459776b0b7b51b0,30 pcs. 5.45x39 SP ammo box,Ammo Pack,0 None
_57372f5c24597769917c0131,30 pcs. 5.45x39 T gs ammo pack,Ammo Pack,0 None
_5737300424597769942d5a01,30 pcs. 5.45x39 US gs ammo pack,Ammo Pack,0 None
_5b2389515acfc4771e1be0c0,AR- P.E.P.R.,Attachments,0 None
_5a37ca54c4a282000d72296a,JP 30mm,Attachments,0 None
_5bfebc5e0db834001a6694e5,Rem. integr.,Attachments,0 None
_5b3b99265acfc4704b4a1afb,NF 30mm,Attachments,0 None
_57c69dd424597774c03b7bbc,30mm Mount,Attachments,0 None
_5bed61680db834001d2c45ab,АK-12 std.,Attachments,0 None
_55d480c04bdc2d1d4e8b456a,6L23,Attachments,0 None
_5cbdaf89ae9215000e5b9c94,30-round 6L23 Plum 5.45x39 magazine for AK-74 and compatibles,Attachments,0 None
_5ac66bea5acfc43b321d4aec,AK-103 Mag,Attachments,0 None
_5a9e81fba2750c00164f6b11,SR3M.130,Attachments,0 None
_5d70e500a4b9364de70d38ce,30x29 mm VOG-30,Ammo,0 None
_5c86592b2e2216000e69e77c,KH/F 34mm,Attachments,0 None
_5aa66a9be5b5b0214e506e89,NF 34mm,Attachments,0 None
_5aa66c72e5b5b00016327c93,NF 34mm RIS,Attachments,0 None
_5a787f25c5856700186c4ab9,355mm M870,Attachments,0 None
_55d3632e4bdc2d972f8b4569,370mm AR-15 5.56x45,Attachments,0 None
_5c0e805e86f774683f3dd637,Paratus,Backpack,4 Ultra
_5c5db5852e2216003a0fe71a,"4.5"" MPX 9x19",Attachments,0 None
_5ba26812d4351e003201fef1,Action SX,Ammo,0 None
_5ba26835d4351e0035628ff5,AP SX,Ammo,0 None
_5ba2678ad4351e44f824b344,FMJ SX,Ammo,0 None
_5ba26844d4351e00334c9475,Subsonic SX,Ammo,0 None
_5656eb674bdc2d35148b457c,40mm,Ammo,0 None
_5c48a2852e221602b21d5923,406mm MDR 5.56x45,Attachments,0 None
_5c0e2f94d174af029f650d56,406mm AR-15 5.56x45,Attachments,0 None
_544a378f4bdc2d30388b4567,40-round PMAG GEN M3 40 5.56x45 STANAG magazine,Attachments,0 None
_5d1340bdd7ad1a0e8d245aab,GEN M3 40,Attachments,0 None
_5bc9be8fd4351e00334cae6e,Tea,Barter Items,0 None
_55d481904bdc2d8c2f8b456a,6L26,Attachments,0 None
_5a7882dcc5856700177af662,M870x4,Attachments,0 None
_5a38ed75c4a28232996e40c6,Sb.3x4,Attachments,0 None
_5c1127d0d174af29be75cf68,12x70 DIPP,Ammo Pack,0 None
_5b44cad286f77402a54ae7e5,Tactec,Armored Rig,4 Ultra
_5cf4e3f3d7f00c06595bc7f0,Aggressor,Attachments,4 Ultra
_5c0d5e4486f77478390952fe,7N39,Ammo,1 Low
_56dfef82d2720bbd668b4567,BP,Ammo,1 Low
_56dff026d2720bb8668b4567,BS,Ammo,1 Low
_56dff061d2720bb5668b4567,BT,Ammo,1 Low
_56dff0bed2720bb0668b4567,5.45x39 mm FMJ,Ammo,0 None
_56dff216d2720bbd668b4568,HP,Ammo,0 None
_56dff2ced2720bb4668b4567,PP,Ammo,0 None
_56dff338d2720bbd668b4569,PRS,Ammo,0 None
_56dff3afd2720bba668b4567,PS,Ammo,0 None
_56dff421d2720b5f5a8b4567,SP,Ammo,0 None
_56dff4a2d2720bbd668b456a,T,Ammo,0 None
_56dff4ecd2720b5f5a8b4568,US,Ammo,0 None
_5447ac644bdc2d6c208b4567,Ball 5.56x45,Ammo,0 None
_59e6920f86f77411d82aa167,55 FMJ,Ammo,0 None
_59e6927d86f77411da468256,55 HP,Ammo,0 None
_54527a984bdc2d4e668b4567,M855,Ammo,0 None
_54527ac44bdc2d36668b4567,M855A1,Ammo,1 Low
_59e68f6f86f7746c9f75e846,M856,Ammo,0 None
_59e6906286f7746c9f75e847,M856A1,Ammo,1 Low
_59e690b686f7746c9f75e848,M995,Ammo,1 Low
_59e6918f86f7746c9f75e849,Mk255 Mod0,Ammo,0 None
_5c0d5ae286f7741e46554302,WG,Ammo,0 None
_5cc80f53e4a949000e1ea4f8,L191,Ammo,0 None
_5cc86832d7f00c000d3a6e6c,R37.F,Ammo,0 None
_5cc86840d7f00c002412c56c,R37.X,Ammo,0 None
_5cc80f67e4a949035e43bbba,SB193,Ammo,0 None
_5cc80f38e4a949001152b560,SS190,Ammo,0 None
_5cc80f8fe4a949033b0224a2,SS197SR,Ammo,0 None
_5cc80f79e4a949033c7343b2,SS198LF,Ammo,0 None
_5888945a2459774bf43ba385,DVL-10 500mm .308,Attachments,0 None
_5a787f7ac5856700177af660,508mm M870,Attachments,0 None
_5a787ebcc5856700142fdd98,508mm M870 FS,Attachments,0 None
_55d4491a4bdc2d882f8b456e,510mm barrel for MP-133 12ga,Attachments,0 None
_560835c74bdc2dc8488b456f,510mm MP-133 12ga,Attachments,0 None
_560836484bdc2d20478b456e,540mm MP-133,Attachments,0 None
_560836b64bdc2d57468b4567,540mm MP-133 12ga,Attachments,0 None
_59fafb5d86f774067a6f2084,Propane,Barter Items,0 None
_5d25a4a98abbc30b917421a4,AICS 5rnd,Attachments,0 None
_5bfea7ad0db834001c38f1ee,Wyatt 5rnd,Attachments,0 None
_5df25b6c0b92095fd441e4cf,T-5000 5rnd,Attachments,0 None
_5c6161fb2e221600113fbde5,Sb.3x5,Attachments,0 None
_5c5db5962e2216000e5e46eb,"6.5"" MPX 9x19",Attachments,0 None
_55d482194bdc2d1d4e8b456b,6L31,Attachments,0 None
_544a37c44bdc2d25388b4567,MAG5-60,Attachments,0 None
_588200af24597742fa221dfb,610mm MP-153 12ga,Attachments,0 None
_55d448594bdc2d8c2f8b4569,610mm MP-133 12ga,Attachments,0 None
_55d449444bdc2d962f8b456d,610mm barrel for MP-133 12ga shotgun with rib,Attachments,0 None
_588200c224597743990da9ed,660mm MP-153 12ga,Attachments,0 None
_5888956924597752983e182d,DVL-10 M2 660mm .308,Attachments,0 None
_5df256570dee1b22f862e9c4,T-5000 660mm .308,Attachments,0 None
_560837154bdc2da74d8b4568,660mm MP-133 12ga,Attachments,0 None
_560836fb4bdc2d773f8b4569,660mm MR-133,Attachments,0 None
_5a787fadc5856700155a6ca1,660mm M870,Attachments,0 None
_5c0e53c886f7747fa54205c7,6B13 assault armor (digital flora pattern) (47/47),Armor Vest,0 None
_5c0e51be86f774598e797894,6B13,Armor Vest,0 None
_5c0e541586f7747fa54205c9,6B13 M assault armor (tan) (60/60),Armor Vest,0 None
_5df8a2ca86f7740bfe6df777,flora,Armor Vest,0 None
_5c0e5bab86f77461f55ed1f3,digital flora pattern,Armor Vest,0 None
_5c0e57ba86f7747fa141986d,mountain flora pattern,Armor Vest,0 None
_5b432be65acfc433000ed01f,6B34,Vanity,0 None
_5d5d646386f7742797261fd9,6B3TM-01M,Armored Rig,0 None
_545cdb794bdc2d3a198b456a,6B43 6A,Armor Vest,0 None
_5aa7cfc0e5b5b00015693143,6B47,Helmet,0 None
_5a7c4850e899ef00150be885,6B47 Ratnik-BSh Helmet,Helmet,0 None
_5c0e446786f7742013381639,6B5-15,Armored Rig,0 None
_5c0e3eb886f7742015526062,6B5-16,Armored Rig,0 None
_5bffdc370db834001d23eca8,6h5,Weapons M,0 None
_564ca9df4bdc2d35148b4569,6L18,Attachments,0 None
_564ca99c4bdc2d16268b4589,6L20,Attachments,0 None
_5ac66c5d5acfc4001718d314,6L29,Attachments,0 None
_5df8a4d786f77412672a1e3b,6SH118,Backpack,4 Ultra
_55d484b44bdc2d1d4e8b456d,MP-133x6,Attachments,0 None
_5d03794386f77420415576f5,Tank battery,Barter Items,3 High
_5735fdcd2459776445391d61,7.62x25 AKBS,Ammo,0 None
_5735ff5c245977640e39ba7e,FMJ43,Ammo,0 None
_573601b42459776410737435,LRN,Ammo,0 None
_573602322459776445391df1,7.62x25 LRNPC,Ammo,0 None
_5736026a245977644601dc61,P gl,Ammo,0 None
_573603562459776430731618,7.62x25mm TT Pst gzh,Ammo,0 None
_573603c924597764442bd9cb,PT gzh,Ammo,0 None
_59e0d99486f7744a32234762,BP 7.62,Ammo,1 Low
_59e4d3d286f774176a36250a,7.62x39 mm HP,Ammo,0 None
_5656d7c34bdc2d9d198b4587,7.62x39 mm PS,Ammo,0 None
_59e4cf5286f7741778269d8a,T45M,Ammo,0 None
_59e4d24686f7741776641ac7,7.62x39 mm US,Ammo,0 None
_5649ed104bdc2d3d1c8b458b,PS 7.62x39,Ammo Pack,0 None
_59e5d83b86f7745aed03d262,AK custom,Attachments,0 None
_5c503ad32e2216398b5aada2,"7.62x51 metal magazine for VPO-101 and compatibles, 10-round capacity",Attachments,0 None
_5c503ac82e221602b21d6e9a,"7.62x51 metal magazine for VPO-101 and compatibles, 5-round capacity",Attachments,0 None
_5e023e53d4353e3302577c4c,BPZ FMJ,Ammo,0 None
_5a6086ea4f39f99cd479502f,M61,Ammo,1 Low
_5a608bf24f39f98ffc77720e,M62,Ammo,1 Low
_58dd3ad986f77403051cba8f,M80,Ammo,1 Low
_5e023e6e34d52a55c3304f71,TPZ SP,Ammo,0 None
_5e023e88277cce2b522ff2b1,Ultra Nosler,Ammo,0 None
_560d75f54bdc2da74d8b4573,SNB 7.62x54 R,Ammo,0 None
_5e023d34e8a400319a28ed44,7BT1,Ammo,1 Low
_59e77a2386f7742ee578960a,7N1,Ammo,1 Low
_5e023d48186a883be655e551,7N37,Ammo,1 Low
_5887431f2459777e1612938f,LPS Gzh,Ammo,0 None
_5bae13ded4351e44f824bf38,AA762R 02,Attachments,0 None
_560d61e84bdc2da74d8b4571,SNB,Ammo,0 None
_5e023cf8186a883be655e54f,T-46M,Ammo,0 None
_588200cf2459774414733d55,710mm MP-153 12ga,Attachments,0 None
_5608373c4bdc2dc8488b4570,710mm MP-133,Attachments,0 None
_560837544bdc2de22e8b456e,710mm MP-133 12ga,Attachments,0 None
_56deec93d2720bec348b4568,750mm MP-153 12ga,Attachments,0 None
_560837824bdc2d57468b4568,750mm MP-133,Attachments,0 None
_5608379a4bdc2d26448b4569,750mm MP-133 12ga,Attachments,0 None
_5a78830bc5856700137e4c90,M870x7,Attachments,0 None
_5c1260dc86f7746b106e8748,7N12,Ammo Pack,0 None
_5c12619186f7743f871c8a32,7N9,Ammo Pack,0 None
_55d485804bdc2d8c2f8b456b,MP-133x8,Attachments,0 None
_5448c12b4bdc2d02308b456f,PM 90-93,Attachments,0 None
_59d6272486f77466146386ff,PMAG30 AK/AKM GEN M3,Attachments,0 None
_5bed625c0db834001c062946,RPK-16 std.,Attachments,0 None
_573718ba2459775a75491131,9 BZT gzh,Ammo,0 None
_573719762459775a626ccbc1,9 P gzh,Ammo,0 None
_573719df2459775a626ccbc2,9x18 mm PM PBM,Ammo,0 None
_57371aab2459775a77142f22,9x18 mm PM PMM,Ammo,0 None
_57371b192459775a9f58a5e0,9x18 mm PM PPe gzh,Ammo,0 None
_57371e4124597760ff7b25f1,PPT gzh,Ammo,0 None
_57371eb62459776125652ac1,9x18 mm PM PRS gs,Ammo,0 None
_57371f2b24597761224311f1,PS gs PPO,Ammo,0 None
_57371f8d24597761006c6a81,9x18 mm PM PSO gzh,Ammo,0 None
_5737201124597760fc4431f1,9x18 mm PM Pst gzh,Ammo,0 None
_5737207f24597760ff7b25f2,PSV,Ammo,0 None
_57372140245977611f70ee91,9x18 mm PM SP7 gzh,Ammo,0 None
_5737218f245977612125ba51,9x18 mm PM SP8 gzh,Ammo,0 None
_573720e02459776143012541,RG028 gzh,Ammo,0 None
_5c925fa22e221601da359b7b,AP 6.3,Ammo,1 Low
_5c3df7d588a4501f290594e5,GT,Ammo,0 None
_5a3c16fe86f77452b62de32a,Luger CCI,Ammo,1 Low
_58864a4f2459770fcc257101,PSO gzh,Ammo,0 None
_56d59d3ad2720bdb418b4577,9x19 mm Pst gzh,Ammo,0 None
_5c0d56a986f774449d5de529,RIP,Ammo,1 Low
_5a269f97c4a282000b151807,SP10,Ammo,0 None
_5a26abfac4a28232980eabff,SP11,Ammo,0 None
_5a26ac06c4a282000c5a90a8,SP12,Ammo,0 None
_5a26ac0ec4a28200741e1e18,SP13,Ammo,0 None
_59f98b4986f7746f546d2cef,SR-1MP,Weapons P,0 None
_5c0d688c86f77413ae3407b2,9x39 mm 7N12 BP,Ammo,0 None
_5c0d668f86f7747ccb7f13b2,SPP,Ammo,0 None
_57a0dfb82459774d3078b56c,SP-5,Ammo,0 None
_57a0e5022459774d1673f889,SP-6,Ammo,0 None
_590c31c586f774245e3141b2,Nails,Barter Items,0 None
_59e35ef086f7741777737012,Screws,Barter Items,0 None
_590c2e1186f77425357b6124,Set,Barter Items,0 None
_5cde7afdd7f00c000d36b89d,A*B Arms MOD X Gen.3 keymod handguard for M700,Attachments,0 None
_5cde7b43d7f00c000d36b93e,MOD X,Attachments,0 None
_58949dea86f77409483e16a8,MPX A2,Attachments,0 None
_5672cb124bdc2d1a0f8b4568,AA Bat.,Barter Items,0 None
_5a34fe59c4a282000b1521a2,SDN-6,Attachments,1 Low
_5c7e5f112e221600106f4ede,Blackout 51T,Attachments,1 Low
_5a34fd2bc4a282329a73b4c5,7.62x51,Attachments,0 None
_5c7e8fab2e22165df16b889b,AAC Illusion 9,Attachments,1 Low
_5c07c60e0db834002330051f,ADAR 2-15,Weapons AR,0 None
_5c0faf68d174af02a96260b8,ADAR 2-15 Charge,Attachments,0 None
_5c0e2ff6d174af02a1659d4a,2-15 wood,Attachments,0 None
_5c0e2f5cd174af02a012cfc9,ADAR 2-15 wooden stock for AR-15 and compatibles,Attachments,0 None
_5c0fafb6d174af02a96260ba,ADAR FH,Attachments,0 None
_5c0faeddd174af02a962601f,ADAR St.,Attachments,0 None
_5c10c8fd86f7743d7d706df3,Adrenaline,Meds,2 Medium
_5bfe86bd0db83400232fe959,AGR-870 cap,Attachments,0 None
_5d52cc5ba4b9367408500062,AGS 30x29 mm automatic grenade launcher,Weapons GL,0 None
_5d52d479a4b936793d58c76b,AGS-30 30-Grenades box 30x29,Attachments,0 None
_5755356824597772cb798962,AI-2,Meds,0 None
_5b7be2345acfc400196d524a,Keymod Handguard,Attachments,0 None
_5b7bebc85acfc43bca706666,M-LOK Handguard,Attachments,0 None
_5bbdb811d4351e45020113c7,Tri-Rail,Attachments,0 None
_5bc5a372d4351e44f824d17f,MNG,Attachments,0 None
_5c7d55de2e221644f31bff68,COMP M4,Attachments,0 None
_5c7d55f52e221644f31bff6a,LRP,Attachments,0 None
_58d39b0386f77443380bf13c,AMSH,Attachments,0 None
_58d399e486f77442e0016fe7,T-1,Attachments,0 None
_58d39d3d86f77445bb794ae7,AMM,Attachments,0 None
_5a7ad4af51dfba0013379717,G Base,Attachments,0 None
_5a7ad55551dfba0015068f42,G Ti Sh,Attachments,0 None
_590c595c86f7747884343ad7,Air filter for gas mask,Barter Items,0 None
_5ac66cb05acfc40198510a10,AK-101,Weapons AR,4 Ultra
_5ac66d015acfc400180ae6e4,AK-102,Weapons AR,4 Ultra
_5ac66d2e5acfc43b321d4b53,AK-103,Weapons AR,4 Ultra
_5ac66d725acfc43b321d4b60,AK-104,Weapons AR,4 Ultra
_5ac66d9b5acfc4001633997a,AK-105,Weapons AR,4 Ultra
_5ac733a45acfc400192630e2,6P44 Sb.1-30,Attachments,0 None
_5bf3e03b0db834001d2c4a9c,AK-74,Weapons AR,1 Low
_59c6633186f7740cf0493bb9,AK 74 G.Tube,Attachments,0 None
_5649b0544bdc2d1b2b8b458a,6P1 Sb.2,Attachments,0 None
_5ac78eaf5acfc4001926317a,PT 74M/100,Attachments,0 None
_5ac4cd105acfc40016339859,AK-74M,Weapons AR,1 Low
_5ac72e475acfc400180ae6fe,6P20 Sb.2,Attachments,0 None
_5644bd2b4bdc2d3b4c8b4572,AK-74N,Weapons AR,4 Ultra
_5d2c76ed48f03532f2136169,Bastion,Attachments,0 None
_59d64ec286f774171d1e0a42,6P1 Sb.1-2,Attachments,0 None
_59e8977386f77415a553c453,VPO-209,Attachments,0 None
_59d6088586f774275f37482f,AKM,Weapons AR,4 Ultra
_59d650cf86f7741b846413a4,6P1 Sb.2-1,Attachments,0 None
_5b222d335acfc4771e1be099,AKM Lock,Attachments,0 None
_5a0eb980fcdbcb001a3b00a6,AKMB,Attachments,0 None
_5a0ec13bfcdbcb00165aa685,AKMN,Weapons AR,4 Ultra
_5a0f096dfcdbcb0176308b15,AKMP,Attachments,0 None
_5a0ed824fcdbcb0176308b0d,AKMP system rear sight device,Attachments,0 None
_59ff346386f77477562ff5e2,AKMS,Weapons AR,0 None
_5abcbc27d8ce8700182eceeb,AKMSN,Weapons AR,0 None
_5bf3e0490db83400196199af,AKS-74,Weapons AR,0 None
_59ecc28286f7746d7a68aa8c,PT 74S,Attachments,0 None
_5ab8e9fcd8ce870019439434,AKS-74N,Weapons AR,0 None
_57dc334d245977597164366f,6P26 Sb.7,Attachments,0 None
_59d36a0086f7747e673f3946,AKS74U G.tube,Attachments,0 None
_5b30bc285acfc47a8608615d,Mk10 10 In.,Attachments,0 None
_5b30bc165acfc40016387293,Mk10 3 In.,Attachments,0 None
_5d15ce51d7ad1a1eff619092,Goliaf,Attachments,0 None
